,GISMATCH,STATEFIP,State,MIGPLAC,MIGPUMA,PWSTATE,PWPUMA,center,TYPE,CBSA_NAME
631,2601900,26,Michigan,026,01900,26,01900,POINT (915546.1676249518 644509.279677964),Metro,"Lansing-East Lansing, MI Metro Area"
632,2602000,26,Michigan,026,02000,26,02000,POINT (886316.1232529719 599753.3900499553),Metro,"Battle Creek, MI Metro Area"
633,2602500,26,Michigan,026,02500,26,02500,POINT (961572.0409423187 551313.3292285906),Nonmetro,"Adrian, MI Micro Area"
634,2602600,26,Michigan,026,02600,26,02600,POINT (946630.214996264 589640.7163938403),Metro,"Jackson, MI Metro Area"
635,2602700,26,Michigan,026,02700,26,02700,POINT (994115.3811541697 596136.9192049765),Metro,"Ann Arbor, MI Metro Area"
636,2602800,26,Michigan,026,02800,26,02800,POINT (983243.1243388443 634153.0416148172),T34,"Detroit-Warren-Dearborn, MI Metro Area"
637,2602900,26,Michigan,026,02900,26,02900,POINT (1024907.6898400014 646073.0045436874),T34,"Detroit-Warren-Dearborn, MI Metro Area"
638,2603000,26,Michigan,026,03000,26,03000,POINT (1060980.3432532754 654954.9216182419),T34,"Detroit-Warren-Dearborn, MI Metro Area"
639,2603100,26,Michigan,026,03100,26,03100,POINT (1077254.6621455348 684988.3628407213),T34,"Detroit-Warren-Dearborn, MI Metro Area"
640,2603200,26,Michigan,026,03200,26,03200,POINT (1038509.9458065924 605468.8214072707),T34,"Detroit-Warren-Dearborn, MI Metro Area"
641,2603300,26,Michigan,026,03300,26,03300,POINT (1023117.4908938927 563412.6081511253),Metro,"Monroe, MI Metro Area"
642,3300100,33,New Hampshire,033,00100,33,00100,POINT (1922602.6300891738 1012099.4415883636),Nonmetro,"Berlin, NH-VT Micro Area"
643,3300290,33,New Hampshire,033,00290,33,00290,POINT (1962762.0496098613 907395.1064362852),Nonmetro,"Concord, NH Micro Area"
644,3300500,33,New Hampshire,033,00500,33,00500,POINT (1903753.3885887177 867392.173576978),Nonmetro,"Keene, NH Micro Area"
645,3400190,34,New Jersey,034,00190,34,00190,POINT (1801420.2234588817 413087.98582399025),Metro,"Atlantic City-Hammonton, NJ Metro Area"
646,3400300,34,New Jersey,034,00300,34,00300,POINT (1814062.7435681561 598030.7011002434),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
647,3400400,34,New Jersey,034,00400,34,00400,POINT (1794172.644631086 601700.8865324202),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
648,3400600,34,New Jersey,034,00600,34,00600,POINT (1819736.745786808 574087.8453916962),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
649,3400800,34,New Jersey,034,00800,34,00800,POINT (1755908.6845336158 539351.5251414652),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
650,3400900,34,New Jersey,034,00900,34,00900,POINT (1800024.168630465 534637.0845434219),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
651,3401000,34,New Jersey,034,01000,34,01000,POINT (1780225.3532258088 544445.9077298307),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
652,3401100,34,New Jersey,034,01100,34,01100,POINT (1819953.8766638455 518587.79660773167),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
653,3401200,34,New Jersey,034,01200,34,01200,POINT (1822792.5155847443 478948.01885288785),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
654,3401300,34,New Jersey,034,01300,34,01300,POINT (1804625.1392017575 575919.4670900459),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
