PUMA,GISMATCH,GISJOIN,GEOID,STATEFIP,State,Name,JAN_AVG_TEMP_C,JULY_AVG_TEMP_C,AVG_TOT_PPT_MM,AVG_TOT_POP_M,AVG_TOT_PPT_M
0607321,607321,G06007321,0607321,06,California,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA,14.021499633789062,20.952211168077255,251.30268012152777,0.2513026801215278,0.2513026801215278
0607315,607315,G06007315,0607315,06,California,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,13.881800842285156,21.051058959960937,279.8945068359375,0.2798945068359375,0.2798945068359375
0607312,607312,G06007312,0607312,06,California,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,13.655624389648438,21.385569763183593,306.27587890625,0.30627587890625,0.30627587890625
0607311,607311,G06007311,0607311,06,California,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,13.511963980538505,20.996586390904017,296.71205357142856,0.29671205357142855,0.29671205357142855
0607306,607306,G06007306,0607306,06,California,San Diego County (Northwest)--Escondido City (East) PUMA,12.267544450431034,22.887360671470905,384.4207300646552,0.38442073006465516,0.38442073006465516
0607318,607318,G06007318,0607318,06,California,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,13.968759155273437,21.293051147460936,275.593115234375,0.27559311523437496,0.27559311523437496
0607308,607308,G06007308,0607308,06,California,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,12.832737513950892,22.661295572916668,357.1702938988095,0.3571702938988095,0.3571702938988095
0607314,607314,G06007314,0607314,06,California,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,13.697781517392112,22.25887480236235,325.7988978794643,0.32579889787946426,0.32579889787946426
0607317,607317,G06007317,0607317,06,California,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,13.964912414550781,21.539749145507812,289.578369140625,0.289578369140625,0.289578369140625
0607305,607305,G06007305,0607305,06,California,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,13.148012049057904,22.361895392922793,356.0873161764706,0.3560873161764706,0.3560873161764706
0607303,607303,G06007303,0607303,06,California,San Diego County (Northwest)--Vista City PUMA,13.222955976213727,21.888769967215403,337.9511021205357,0.3379511021205357,0.3379511021205357
0607901,607901,G06007901,0607901,06,California,San Luis Obispo County (West)--Coastal Region PUMA,11.369059535435268,17.36978236607143,556.0777901785714,0.5560777901785714,0.5560777901785714
0607902,607902,G06007902,0607902,06,California,San Luis Obispo County (East)--Inland Region PUMA,9.231793073887163,22.90032592520704,425.23230460662523,0.42523230460662526,0.42523230460662526
0611300,611300,G06011300,0611300,06,California,"Yolo County--Davis, Woodland & West Sacramento Cities PUMA",8.525741500471106,24.372413826947238,549.2781878140704,0.5492781878140705,0.5492781878140705
0608104,608104,G06008104,0608104,06,California,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA,10.188047597106074,17.469310491857396,758.1318080357142,0.7581318080357142,0.7581318080357142
0608101,608101,G06008101,0608101,06,California,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA",10.521622877854567,15.56485337477464,669.5746694711538,0.6695746694711538,0.6695746694711538
0608501,608501,G06008501,0608501,06,California,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA",9.890829580801505,20.361018428096063,672.4717158564815,0.6724717158564816,0.6724717158564816
0608106,608106,G06008106,0608106,06,California,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA",10.103805541992188,20.074085998535157,660.0654296875,0.6600654296875,0.6600654296875
